id,source_website,week,player_first_name,player_last_name,position,projected_points,created_at,updated_at,team
18767,fanduel.com,Week 12,Christian,McCaffrey,RB,30.34,2025-11-20 17:52:44,2025-11-20 18:02:18,SF
16888,espn.com,Week 11,De'Von,Achane,RB,27.9,2025-11-13 05:19:16,2025-11-13 05:19:16,MIA
16889,espn.com,Week 11,Christian,McCaffrey,RB,26.6,2025-11-13 05:19:16,2025-11-13 05:19:16,SF
18561,espn.com,Week 12,Christian,McCaffrey,RB,26.1,2025-11-20 17:46:24,2025-11-20 18:00:16,SF
16397,sleeper.com,Week 11,Josh,Allen,QB,26.0,2025-11-13 05:18:19,2025-11-13 05:18:19,BUF
18103,sleeper.com,Week 12,Josh,Allen,QB,25.9,2025-11-20 17:45:26,2025-11-20 17:59:20,BUF
18104,sleeper.com,Week 12,Jalen,Hurts,QB,25.7,2025-11-20 17:45:26,2025-11-20 17:59:20,PHI
15194,sleeper.com,Week 10,Josh,Allen,QB,25.6,2025-11-07 00:48:26,2025-11-07 00:48:26,BUF
18105,sleeper.com,Week 12,Drake,Maye,QB,25.3,2025-11-20 17:45:26,2025-11-20 17:59:20,NE
18106,sleeper.com,Week 12,Christian,McCaffrey,RB,25.2,2025-11-20 17:45:26,2025-11-20 17:59:20,SF
15195,sleeper.com,Week 10,Lamar,Jackson,QB,25.1,2025-11-07 00:48:26,2025-11-07 00:48:26,BAL
18107,sleeper.com,Week 12,Lamar,Jackson,QB,25.1,2025-11-20 17:45:26,2025-11-20 17:59:20,BAL
18533,espn.com,Week 12,Drake,Maye,QB,25.1,2025-11-20 17:46:24,2025-11-20 18:00:16,NE
19968,fantasypros.com,Week 12,Christian,McCaffrey,RB,25.1,2025-11-20 18:01:42,2025-11-20 18:01:42,SF
17098,fantasypros.com,Week 11,Josh,Allen,QB,25.0,2025-11-13 05:20:49,2025-11-13 05:20:49,BUF
18108,sleeper.com,Week 12,Patrick,Mahomes,QB,24.9,2025-11-20 17:45:26,2025-11-20 17:59:20,KC
16398,sleeper.com,Week 11,Lamar,Jackson,QB,24.6,2025-11-13 05:18:19,2025-11-13 05:18:19,BAL
17099,fantasypros.com,Week 11,Drake,Maye,QB,24.5,2025-11-13 05:20:49,2025-11-13 05:20:49,NE
15644,espn.com,Week 10,Christian,McCaffrey,RB,24.4,2025-11-07 00:49:32,2025-11-07 00:49:32,SF
15196,sleeper.com,Week 10,Christian,McCaffrey,RB,24.2,2025-11-07 00:48:26,2025-11-07 00:48:26,SF
15197,sleeper.com,Week 10,Jaxson,Dart,QB,24.1,2025-11-07 00:48:26,2025-11-07 00:48:26,NYG
15848,fantasypros.com,Week 10,Josh,Allen,QB,24.1,2025-11-07 00:50:27,2025-11-07 00:50:27,BUF
16399,sleeper.com,Week 11,Jalen,Hurts,QB,24.1,2025-11-13 05:18:19,2025-11-13 05:18:19,PHI
17100,fantasypros.com,Week 11,Jalen,Hurts,QB,24.0,2025-11-13 05:20:49,2025-11-13 05:20:49,PHI
16400,sleeper.com,Week 11,Christian,McCaffrey,RB,23.9,2025-11-13 05:18:19,2025-11-13 05:18:19,SF
17450,firstdown.studio,Week 11,C.,McCaffrey,RB,23.9,2025-11-13 05:21:09,2025-11-13 05:21:09,SF
